Name,Role (within MINT),Site: Public?,Site: id,Site: Section,Site: Sort Order,Site: Role,Site: Discipline,Site: Affiliation,Site: Bio,Site: headshot link,Site: Link 1 Label,Site: Link 1 URL,Site: Link 2 Label,Site: Link 2 URL,Site: Link 3 Label,Site: Link 3 URL
Seth Lazar,Principal Investigator,Yes,seth-lazar,Team,1,Principal Investigator,Philosophy,Johns Hopkins University,"Professor at Johns Hopkins University School of Government and Policy and the Australian National University. Founding director of MINT Lab. Research focuses on the philosophy of AI and computing, and on the defence, reinvigoration, and redesign of liberal democratic institutions for the AI transition.",,CV,https://mintresearch.org/cv/,Google Scholar,https://scholar.google.com/citations?user=uo8pBTsAAAAJ,,
Daniel Kilov,"Lab Manager, Lab Member, Post-doc",Yes,daniel-kilov,Team,2,"Lab Manager, Research Fellow","Cognitive science, Philosophy",Australian National University,"Daniel Kilov works on philosophy of mind, cognitive science, and moral psychology. His PhD research concerns the shape and limits of expertise and combines experimental methods with the traditional, armchair methods of philosophy. He has recently developed an interest in AI technologies and the ways they may augment or supplant human expertise. In addition, Daniel is interested methodological questions around the development of moral machines; Can empirical results about folk morality undermine traditional a priori moral theorizing? Can we treat 'moral judgement' as a natural kind term that picks out a nomological clustering of real psychosocial properties to be uncovered by empirical investigation? If so, what are our best empirical theories of moral foundations or moral universals? Answering these questions is a precondition to constructing or training AI agents that are sensitive to moral properties. Daniel is now working on just these topics, as a postdoctoral research fellow on the ARC Linkage project on socially responsible insurance in the age of AI.",,Google Scholar,https://scholar.google.com/citations?user=ESD-v_oAAAAJ,,,,
Secil Yanik Guyot,"Lab Member, Lab engineer",Yes,secil-yanik-guyot,Team,3,Research Engineer,"Cybernetics, Data Science",??,"Secil has a background in data, analytics and business analysis with over 15 years industry experience. She worked for leading companies in logistics and cyber security and in domains of finance, marketing and customer service, and as a consultant in the social for-purpose sector. At MINT Lab, she is supporting empirical research with her technical expertise and working on developing AI tools for the lab. She holds a masters degree in Applied Cybernetics from Australian National University, bachelors degree in Business Informatics from Marmara University and a MicroMasters credential in Statistics and Data Science from MITx.",,LinkedIn,https://www.linkedin.com/in/secilyanik/,,,,
Ned Howells-Whitaker,"Lab Member, PhD Student, Pre-doc, Visiting PhD Student",Yes,ned-howells-whitaker,Team,4,Visiting Student,,University of Pittsburgh,"Ned is a visiting student and research affiliate, with a background in political philosophy.",,,,,,,
Jennifer Munt,Lab Member,Yes,jennifer-munt,Team,5,Research Fellow,"Philosophy, Political Science",Australian National University,"Jenny is a philosophy PhD candidate in Philosophy at the Australian National University. She works on the epistemology of trust and trustworthiness, with a focus on what it means for individuals, institutions, and AI to trust and be trustworthy. She holds a BA (Hons) in philosophy and political science and a MA (Research) in formal epistemology.",,,,,,,
Tim Dubber,"Lab Member, PhD Student",Yes,tim-dubber,Team,6,PhD Student,"Philosophy, Political Science",Australian National University,"Tim is a PhD candidate working with the MINT lab. He holds an MSc in Epistemology, Ethics and Mind from the University of Edinburgh and an MA in Strategy and Security from UNSW. Furthermore, Tim has spent over a decade and a half working in the Australian Department of Defence, both in and out of uniform. His area of research focus is the ethics of machine intelligence warfare.",,,,,,,
Abbas Bagwala,"Affiliate, PhD Student",Yes,abbas-bagwala,Team,16,Visiting Student,Philosophy,??,"Abbas Bagwala is a PhD student in philosophy at the University of Oregon working on questions at the intersection of epistemology, philosophy of technology, and political philosophy. His research examines how emerging information technologies reshape practices of inquiry, explanation, and collective reasoning. He is particularly interested in how machine learning and data infrastructures affect the distribution of knowledge, authority, and responsibility in contemporary social and political life.",,,,,,,
Andrew Smart,"Lab Member, PhD Student",Yes,andrew-smart,Team,9,PhD Student,"Cognitive science, Philosophy",Australian National University,"Andrew Smart is a Senior Research Scientist at Google Research working broadly on understanding social impacts of AI. He is based in San Francisco. His first love is philosophy and he is excited to join the MINT lab as a (very old) PhD student. A lifelong goal of his is to finish a PhD in philosophy. At Google he has collaborated with philosophers to critically examine foundational epistemic and philosophy of science questions about data, machine learning, and of course recently LLMs and foundation models. He has collaborated with MINT alum Atoosa Kasirzadah on how counterfactuals get used or misused in ML fairness, and he recently collaborated with Mel Andrews and Abeba Birhane on how abandoned pseudoscientific ideas get recycled back into scientific research via machine learning. He hopes to foster more collaboration between philosophers of technology and technologists at Google. Prior to joining Google he was a research scientist at Twitter, Novartis, and Honeywell Aerospace. He has worked on data science, medical device safety, clinical research, and safety engineering/human factors in aviation. His academic background is in anthropology, philosophy and cognitive science. He has a masters degree in cognitive science from Lund University in Sweden, and he worked as a junior research scientist at NYU, where he worked on brian imaging of human language. He is also the author of two popular science books about the neuroscience of idleness and about the possibility of robots taking psychedelic drugs.",,,,,,,
Angelica Chowdhury,"Lab Member, PhD Student, Visiting PhD Student",Yes,angelica-chowdhury,Team,18,Visiting Student,Computer science,??,Visiting Student at MINT Lab. Her research focuses on the technical and ethical aspects of AI systems.,,,,,,,
Cameron Pattison,"Lab Member, PhD Student",Yes,cameron-pattison,Team,8,Visiting Student,Philosophy,Vanderbilt University,"Cameron Pattison is a PhD student in Philosophy at Vanderbilt University, specializing in formal epistemology and applied ethics. His research examines how AI systems mediate access to information, moral reasoning, and democratic participation. Current projects include studying LLM over-refusal in compliance contexts (with Seth Lazar, JHU), investigating corporate influence on AI ethics discourse (Lacy-Fischer Grant), and evaluating AI-assisted translation of classical philosophical texts (with Vanderbilt and Harvard Classics). He co-directs the AI and the Human seminar at Vanderbilt's Robert Penn Warren Center, curates the MINT Philosophy of Computing newsletter, and builds computational tools for philosophical research.",,,,,,,
